feature,importance
x1_SI_HSV1_Patient_Report_No_stage_Envelope_glycoprotein_D_TPYHP_Motif_Family_29_zscore_Max_ML,0.0008270623678918979
x1_Flow_Cyt_IL4IL6DPofCD8_ML,0.0008251775632308597
x1_REAP_Antigen_PLA2G12B,0.0008201504068933347
x1_Flow_Cyt_CD4PD1pTemofLive,0.0008184216022600988
x1_REAP_Antigen_PGF,0.0008159515992180287
x1_REAP_Antigen_ABCC6_Epitope-7-N_ML,0.0008119603743596362
x1_SI_Herpes_simplex_virus_1_Patient_Report_No_stage_Viral_All_motif_ScoreSum,0.0008111433724698309
x1_Flow_Cyt_CD4PD1pTcmnumber_ML2,0.0008111416275822164
x1_REAP_Antigen_HTR1E_Epitope-3-N_ML,0.0008098496616340584
x1_REAP_Antigen_SCN2A_Epitope-7-N,0.0008071475439851899
x1_REAP_Antigen_OSCAR,0.0008027340383164592
x1_Flow_Cyt_FollCD8ofCD8_GG33.10_ML,0.0008015915637085245
x1_Flow_Cyt_CD8IL6number_ML2,0.0007868075974163876
x1_REAP_Antigen_SLC26A5_Epitope-5-N,0.0007770969478854832
x0_PMH_none,0.0007750175811552032
x1_Flow_Cyt_IL4IL6DPofCD4num_ML2,0.0007722057390875453
x1_Flow_Cyt_CD4PD1pTemnumber_ML2,0.0007720883915674478
x1_Flow_Cyt_CD8IL2ofLive,0.0007643681452334619
x1_REAP_Antigen_GPR151_Epitope-2-N,0.0007632947361066882
x1_REAP_Antigen_AQP8_Epitope-3-N,0.0007602262529376368
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Spike_DXSGIXXX[DGESN]_Motif_Family_8_zscore,0.0007569176384420415
x1_REAP_Antigen_SLC5A3_Epitope-2-N,0.0007508495237720854
x1_REAP_Antigen_CCL22_ML,0.0007430730952634715
x1_REAP_Antigen_SEMG2,0.0007369701692318668
x1_REAP_Antigen_FAM187A,0.000735688879644892
x1_Flow_Cyt_CD4rnTregnumber_ML2,0.0007299440230790885
x1_REAP_Antigen_CXCL5,0.0007295183385070494
x1_REAP_Antigen_OR7A5_Epitope-3-N,0.000721503659326711
x1_Flow_Cyt_CD4nTregofLive,0.0007161279861679251
x1_REAP_Antigen_ADM2,0.0007133270632663091
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Nucleocapsid_[LM]X[HR]LNX[ILM]_Motif_Family_10_zscore,0.0007121916600063825
x1_Flow_Cyt_CD4PD1pTcmofCD4_GG34.6_ML,0.000711168755192101
x1_REAP_Antigen_UGT2A1,0.0007099559020191754
x1_REAP_Antigen_FAM174B_Epitope-1,0.000702086385058899
x1_Flow_Cyt_CD4TNFaofCD3,0.0006952303341540519
x1_REAP_Virus_Antigen_EBV_gp42_ML,0.0006927388414464214
