Feature,Importance
x1_Flow_Cyt_EosofLive_GG30.5_ML,3.0161853904439302e-05
x1_Cytokines_PAI-1 (total)_Obs_Conc_pg/mL_GG6.3_ML,2.879923054389179e-05
x1_Flow_Cyt_CSMemofLive,2.8684491082548482e-05
x1_SI_CMV_Patient_Report_No_stage_Envelope_glycoprotein_B_YX[TACS]TLXY_Motif_Family_1_zscore_Max_ML,2.7720872249583378e-05
x1_Cytokines_Platelet Factor 4_Obs_Conc_ng/mL_GG3.3_ML,2.7522345183099123e-05
x1_REAP_Antigen_ANGPTL2,2.668997154861448e-05
x1_SI_HSV1_Patient_Report_No_stage_Envelope_glycoprotein_B_PXGDPXXK_Motif_Family_26_zscore_Max_ML,2.6511259918202464e-05
x1_SI_HSV2_Patient_Report_No_stage_Envelope_glycoprotein_D_PP[SA]HXXXF_Motif_Family_12_zscore_Max_ML,2.6185668959173714e-05
x1_REAP_Antigen_OR3A4P_Epitope-2-N,2.582730598683071e-05
x1_Flow_Cyt_CD8PD1nTcmofCD8,2.5419161158301563e-05
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Spike_KXG[ACT]PXXXXP_Motif_Family_34_zscore_Max_ML,2.3157710322404342e-05
x1_Flow_Cyt_CD4PD1pTemraofLive,2.31323736552246e-05
x1_Flow_Cyt_CD4PD1pTcmofCD4_GG34.6_ML,2.2854488519665843e-05
x1_SI_EBV_Patient_Report_Latent_and_Mono_EBNA3_PPWWP_Motif_Family_27_zscore_Max_ML,2.2602107197395398e-05
x1_SI_CMV_Patient_Report_No_stage_Unmapped_DX[DA]DGXXQ_Motif_Family_5_zscore_Max,2.2041085005075215e-05
x1_REAP_Antigen_OR11H4_Epitope-3-N,2.193779898737271e-05
x1_Flow_Cyt_pDC,2.126424904273536e-05
x1_Flow_Cyt_TcellsofLive_GG33.1_ML,2.0967741355302943e-05
x1_Cytokines_IL-1Î±_Obs_Conc_pg/mL_GG4.1_ML,2.0693384847292553e-05
x1_Flow_Cyt_PD1pCD8Temranumber_ML2,2.029779015383376e-05
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Additional_Mimitopes_SAXY[AMS]XK_Motif_Family_20_zscore,1.9758466432007594e-05
x1_SI_EBV_Patient_Report_Late_Antigen_Envelope_glycoprotein_B_[VI]PXXAPXK_Motif_Family_14_zscore_Max_ML,1.942942116200248e-05
x1_Flow_Cyt_DC1number_ML2,1.901441987860061e-05
x1_Flow_Cyt_CD66bCD16intNeutMFInonnorm,1.8399422444838945e-05
x1_Flow_Cyt_CD4rnTregofCD3,1.8042139878271757e-05
x1_SI_EBV_Patient_Report_Late_Antigen_EBNA1_DXPPGA_Motif_Family_5_zscore_Max_ML,1.779420310742177e-05
x1_Flow_Cyt_CD8IL6number_ML2,1.735557541774666e-05
x1_SI_HSV2_Patient_Report_No_stage_Envelope_glycoprotein_G_GILGP_Motif_Family_10_zscore_Max_ML,1.7255283258223822e-05
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Additional_Mimitopes_CXVXPXMXK_Motif_Family_24_zscore,1.7084550227157688e-05
x1_Flow_Cyt_CSMemofAct,1.6785299394364175e-05
x1_REAP_Virus_Antigen_H1N1_2017_HA_ML,1.6509117620827182e-05
x0_Symp_Survey_fss1,1.6286864906936852e-05
x1_Flow_Cyt_CD16hiNeutofLive_GG30.2_ML,1.5858646942531247e-05
x1_Flow_Cyt_CD8IL6ofLive,1.5716089717765416e-05
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Spike_ETXS[LM]G_Motif_Family_5_zscore,1.556547377934537e-05
x1_SI_EBV_Patient_Report_Latent_and_Mono_EBNA6_QXT[ART]PR_Motif_Family_29_zscore_Max_ML,1.5496515938721595e-05
x1_Flow_Cyt_CD16hiNeut,1.5100921769822232e-05
x1_REAP_Antigen_TMEM204,1.4949693986084543e-05
x1_Flow_Cyt_CD4PD1pTcmnumber_ML2,1.491556886070161e-05
x1_Flow_Cyt_CD8CXCR3ofCD3,1.4732873260029954e-05
x1_SI_Onchocerca_volvulus_Patient_Report_No_stage_Parasitic_All_motif_ScoreSum,1.457678991079774e-05
x1_REAP_Virus_Antigen_SARSCoV2_Gamma_S1RBD_ML,1.4293454240691565e-05
x1_Flow_Cyt_CD16intNeutnumber_ML2,1.3513744279613981e-05
x1_REAP_Virus_Antigen_SARSCoV2_Omicron_S1RBD_ML,1.3200258059505652e-05
x1_Cytokines_Adiponectin_Obs_Conc_pg/mL_GG13.1_ML,1.2882140124592327e-05
x1_SI_HSV1_Patient_Report_No_stage_Tegument_protein_VP22_VXY[DE]XXDY_Motif_Family_30_zscore_Max_ML,1.2430885653604856e-05
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Additional_Mimitopes_CXXXPCMXK_Motif_Family_24_zscore,1.176582242104843e-05
x1_REAP_Virus_Antigen_Measles_Vaccine_Fusion,1.1722410063454576e-05
x1_REAP_Antigen_GH1,1.1596603997196114e-05
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Nucleocapsid_QXXC[LM]XKXXF_Motif_Family_9_zscore,1.1515659324248763e-05
x1_REAP_Antigen_OR14K1_Epitope-1-N,1.138848520802953e-05
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Spike_LPFQQ_Motif_Family_1_zscore_Max_ML,1.114614601804993e-05
x1_Flow_Cyt_CD4CXCR3number_ML2,1.0934591307224307e-05
x0_Symp_Survey_eq5vas,1.0820293816492547e-05
x1_SI_CMV_Patient_Report_No_stage_Membrane_glycoprotein_UL139_DGSFP_Motif_Family_9_zscore_Max_ML,1.0317900085050282e-05
x1_REAP_Antigen_GJA4_Epitope-2-N,1.0284844673226392e-05
