Logistic_PCA50_cost20,Logistic_PCA50_cost25,Logistic_PCA100_cost20,BalancedRF_PCA50,SMOTE_Logistic_PCA50,true_label
0.0,0.0,0.0,0.275,0.0,0
0.0002480961853436154,0.00019597211392698244,1.9326204078589593e-05,0.375,0.00040795702678032906,0
0.00015746755950424358,0.00011667702370051586,0.0004969665447350744,0.41,4.408527105820629e-05,0
2.5800903366010467e-145,2.76710718941314e-158,1.0,0.33,3.086564184778791e-188,0
6.0829532906129105e-226,2.243101393085821e-235,3.1044084887948286e-92,0.31,3.2214953633290853e-271,0
0.03164107733690246,0.0305913726280519,0.004985274899697379,0.42,0.011065791835599581,0
2.898533411594874e-05,1.9784515136408735e-05,4.5576160208136666e-05,0.385,3.2937907889880096e-05,0
9.795257202932013e-18,1.0451406256268854e-21,0.0,0.265,1.0,0
0.00419710932637681,0.003727678033767679,0.000826575101913865,0.485,0.002179244249564531,0
0.924792265482197,0.9382443365210089,0.8368132187010311,0.54,0.8229582343789301,0
0.017965016285296734,0.01662441813482952,0.0002954534228648071,0.465,0.022680265527741772,0
0.0,0.0,1.0,0.305,0.0,0
3.120401980211134e-190,6.691564711542902e-200,1.12892418954447e-153,0.26,2.8902684116492155e-177,0
1.0,1.0,0.9999999999999913,0.4,1.0,0
1.0,1.0,1.0,0.275,0.0,0
1.0,1.0,0.0,0.435,1.0,0
0.00013305030756941607,9.603443699785181e-05,0.019290090461552247,0.44,1.4151860355063575e-05,0
1.0,1.0,1.0,0.255,6.38906952146639e-20,0
1.8540467908919054e-14,1.491823373716725e-14,0.0,0.325,1.1107121131850909e-39,0
0.0,0.0,1.0,0.35,0.0,0
1.0,1.0,1.0,0.32,1.0,0
0.11222623628248828,0.11712621942576225,0.02466798397985362,0.575,0.08129687882251965,0
0.0028762652680196987,0.00249914032133503,0.019127819771450838,0.405,0.0014662163338872288,1
0.002110862848899719,0.0017877468342483323,0.007238050313480925,0.385,0.0006017479298057233,0
0.003500366959500931,0.003082947226314508,0.007038956796738435,0.495,0.0016080870264454264,0
1.025381604252473e-05,6.4722034976032415e-06,1.5610100839260707e-05,0.415,3.1405753665346394e-05,0
0.00010097395834274782,7.401555976086014e-05,0.00027190405147558145,0.305,0.0002279853263083355,0
